,Age,AgeGeneration,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceFromHomeCategory,Education,EducationField,EmployeeCount,EmployeeEngagementScore,EmployeeNumber,EnvironmentSatisfaction,ExperiencePriorToCurrentJob,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,Overtime_Preference,PercentSalaryHike,PerformanceRating,PerformanceSatisfactionIndex,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
11,29,Millennials,No,Travel_Rarely,153,Research & Development,15,Medium Distance,College,Life Sciences,1,2.6666666666666665,15,Very High,1,Female,49,Medium,2,Laboratory Technician,High,Single,4193,12682,0,Y,Yes,1,12,Excellent,3.6666666666666665,Very High,80,0,10,3,Better,9,5,0,8
12,31,Millennials,No,Travel_Rarely,670,Research & Development,26,Long Distance,Below College,Life Sciences,1,2.6666666666666665,16,Low,0,Male,31,High,1,Research Scientist,High,Divorced,2911,15170,1,Y,No,0,17,Excellent,2.6666666666666665,Very High,80,1,5,1,Good,5,2,4,3
13,34,Millennials,No,Travel_Rarely,1346,Research & Development,19,Medium Distance,College,Medical,1,3.0,18,Medium,1,Male,93,High,1,Laboratory Technician,Very High,Divorced,2661,8758,0,Y,No,0,11,Excellent,3.0,High,80,1,3,2,Better,2,2,1,2
14,28,Millennials,Yes,Travel_Rarely,103,Research & Development,24,Long Distance,Bachelor,Life Sciences,1,2.6666666666666665,19,High,2,Male,50,Medium,1,Laboratory Technician,High,Single,2028,12947,5,Y,Yes,1,14,Excellent,2.6666666666666665,Medium,80,0,6,4,Better,4,2,0,3
15,29,Millennials,No,Travel_Rarely,1389,Research & Development,21,Long Distance,Master,Life Sciences,1,3.3333333333333335,20,Medium,0,Female,51,Very High,3,Manufacturing Director,Low,Divorced,9980,10195,1,Y,No,0,11,Excellent,2.0,High,80,1,10,1,Better,10,9,8,8
16,32,Millennials,No,Travel_Rarely,334,Research & Development,5,Short Distance,College,Life Sciences,1,3.0,21,Low,1,Male,80,Very High,1,Research Scientist,Medium,Divorced,3298,15053,0,Y,Yes,1,12,Excellent,2.3333333333333335,Very High,80,2,7,5,Good,6,2,0,5
17,22,Gen Z,No,Non-Travel,1123,Research & Development,16,Medium Distance,College,Medical,1,3.0,22,Very High,0,Male,96,Very High,1,Laboratory Technician,Very High,Divorced,2935,7324,1,Y,Yes,1,13,Excellent,3.3333333333333335,Medium,80,2,1,2,Good,1,0,0,0
18,53,Gen X,No,Travel_Rarely,1219,Sales,2,Short Distance,Master,Life Sciences,1,2.6666666666666665,23,Low,6,Female,78,Medium,4,Manager,Very High,Married,15427,22021,2,Y,No,0,16,Excellent,2.6666666666666665,High,80,0,31,3,Better,25,8,3,7
19,38,Millennials,No,Travel_Rarely,371,Research & Development,2,Short Distance,Bachelor,Life Sciences,1,3.0,24,Very High,3,Male,45,High,1,Research Scientist,Very High,Single,3944,4306,5,Y,Yes,1,11,Excellent,3.6666666666666665,High,80,0,6,3,Better,3,2,1,2
20,24,Gen Z,No,Non-Travel,673,Research & Development,11,Medium Distance,College,Other,1,3.0,26,Low,1,Female,96,Very High,2,Manufacturing Director,High,Divorced,4011,8232,0,Y,No,0,18,Excellent,2.6666666666666665,Very High,80,1,5,5,Good,4,2,1,3
21,36,Millennials,Yes,Travel_Rarely,1218,Sales,9,Short Distance,Master,Life Sciences,1,3.0,27,High,5,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7,Y,No,0,23,Outstanding,2.0,Medium,80,0,10,4,Better,5,3,0,3
22,34,Millennials,No,Travel_Rarely,419,Research & Development,7,Short Distance,Master,Life Sciences,1,3.0,28,Low,1,Female,53,High,3,Research Director,Medium,Single,11994,21293,0,Y,No,0,11,Excellent,2.0,High,80,0,13,4,Better,12,6,2,11
23,21,Gen Z,No,Travel_Rarely,391,Research & Development,15,Medium Distance,College,Life Sciences,1,3.0,30,High,0,Male,96,High,1,Research Scientist,Very High,Single,1232,19281,1,Y,No,0,14,Excellent,3.6666666666666665,Very High,80,0,0,6,Better,0,0,0,0
24,34,Millennials,Yes,Travel_Rarely,699,Research & Development,6,Short Distance,Below College,Medical,1,3.0,31,Medium,4,Male,83,High,1,Research Scientist,Low,Single,2960,17102,2,Y,No,0,11,Excellent,2.0,High,80,0,8,2,Better,4,2,1,3
25,53,Gen X,No,Travel_Rarely,1282,Research & Development,5,Short Distance,Bachelor,Other,1,2.6666666666666665,32,High,12,Female,58,High,5,Manager,High,Divorced,19094,10735,4,Y,No,0,11,Excellent,3.3333333333333335,Very High,80,1,26,3,Good,14,13,4,8
26,32,Millennials,Yes,Travel_Frequently,1125,Research & Development,16,Medium Distance,Below College,Life Sciences,1,2.6666666666666665,33,Medium,0,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1,Y,Yes,1,22,Outstanding,1.6666666666666667,Medium,80,0,10,5,Better,10,2,6,7
27,42,Millennials,No,Travel_Rarely,691,Sales,8,Short Distance,Master,Marketing,1,3.0,35,High,1,Male,48,High,2,Sales Executive,Medium,Married,6825,21173,0,Y,No,0,11,Excellent,3.0,Very High,80,1,10,2,Better,9,7,4,2
28,44,Gen X,No,Travel_Rarely,477,Research & Development,7,Short Distance,Master,Medical,1,2.6666666666666665,36,Low,2,Female,42,Medium,3,Healthcare Representative,Very High,Married,10248,2094,3,Y,No,0,14,Excellent,3.0,Very High,80,1,24,4,Better,22,6,5,17
29,46,Gen X,No,Travel_Rarely,705,Sales,2,Short Distance,Master,Marketing,1,2.6666666666666665,38,Medium,20,Female,83,High,5,Manager,Low,Single,18947,22822,3,Y,No,0,12,Excellent,2.3333333333333335,Very High,80,0,22,2,Good,2,2,2,1
30,33,Millennials,No,Travel_Rarely,924,Research & Development,2,Short Distance,Bachelor,Medical,1,3.0,39,High,6,Male,78,High,1,Laboratory Technician,Very High,Single,2496,6670,4,Y,No,0,11,Excellent,3.6666666666666665,Very High,80,0,7,3,Better,1,1,0,0
31,44,Gen X,No,Travel_Rarely,1459,Research & Development,10,Short Distance,Master,Other,1,3.3333333333333335,40,Very High,5,Male,41,High,2,Healthcare Representative,Very High,Married,6465,19121,2,Y,Yes,1,13,Excellent,4.0,Very High,80,0,9,5,Best,4,2,1,3
32,30,Millennials,No,Travel_Rarely,125,Research & Development,9,Short Distance,College,Medical,1,2.6666666666666665,41,Very High,0,Male,83,Medium,1,Laboratory Technician,High,Single,2206,16117,1,Y,No,0,13,Excellent,2.6666666666666665,Low,80,0,10,5,Better,10,0,1,8
33,39,Millennials,Yes,Travel_Rarely,895,Sales,5,Short Distance,Bachelor,Technical Degree,1,3.3333333333333335,42,Very High,18,Male,56,High,2,Sales Representative,Very High,Married,2086,3335,3,Y,No,0,14,Excellent,3.6666666666666665,High,80,1,19,6,Best,1,0,0,0
34,24,Gen Z,Yes,Travel_Rarely,813,Research & Development,1,Short Distance,Bachelor,Medical,1,2.6666666666666665,45,Medium,4,Male,61,High,1,Research Scientist,Very High,Married,2293,3020,2,Y,Yes,1,16,Excellent,2.3333333333333335,Low,80,1,6,2,Good,2,0,2,0
35,43,Millennials,No,Travel_Rarely,1273,Research & Development,2,Short Distance,College,Medical,1,3.0,46,Very High,1,Female,72,Very High,1,Research Scientist,High,Divorced,2645,21923,1,Y,No,0,12,Excellent,3.6666666666666665,Very High,80,2,6,3,Good,5,3,1,4
36,50,Gen X,Yes,Travel_Rarely,869,Sales,3,Short Distance,College,Marketing,1,2.6666666666666665,47,Low,0,Male,86,Medium,1,Sales Representative,High,Married,2683,3810,1,Y,Yes,1,14,Excellent,2.3333333333333335,High,80,0,3,2,Better,3,2,0,2
37,35,Millennials,No,Travel_Rarely,890,Sales,2,Short Distance,Bachelor,Marketing,1,3.0,49,Very High,0,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1,Y,No,0,13,Excellent,3.0,Low,80,0,2,3,Better,2,2,2,2
38,36,Millennials,No,Travel_Rarely,852,Research & Development,5,Short Distance,Master,Life Sciences,1,3.0,51,Medium,5,Female,82,Medium,1,Research Scientist,Low,Married,3419,13072,9,Y,Yes,1,14,Excellent,2.3333333333333335,Very High,80,1,6,3,Best,1,1,0,0
39,33,Millennials,No,Travel_Frequently,1141,Sales,1,Short Distance,Bachelor,Life Sciences,1,3.3333333333333335,52,High,5,Female,42,Very High,2,Sales Executive,Low,Married,5376,3193,2,Y,No,0,19,Excellent,1.6666666666666667,Low,80,2,10,3,Better,5,3,1,3
40,35,Millennials,No,Travel_Rarely,464,Research & Development,4,Short Distance,College,Other,1,3.0,53,High,0,Male,75,High,1,Laboratory Technician,Very High,Divorced,1951,10910,1,Y,No,0,12,Excellent,3.3333333333333335,High,80,1,1,3,Better,1,0,0,0
41,27,Gen Z,No,Travel_Rarely,1240,Research & Development,2,Short Distance,Master,Life Sciences,1,3.0,54,Very High,0,Female,33,High,1,Laboratory Technician,Low,Divorced,2341,19715,1,Y,No,0,13,Excellent,3.0,Very High,80,1,1,6,Better,1,0,0,0
42,26,Gen Z,Yes,Travel_Rarely,1357,Research & Development,25,Long Distance,Bachelor,Life Sciences,1,2.0,55,Low,0,Male,48,Low,1,Laboratory Technician,High,Single,2293,10558,1,Y,No,0,12,Excellent,2.3333333333333335,High,80,0,1,2,Good,1,0,0,1
43,27,Gen Z,No,Travel_Frequently,994,Sales,8,Short Distance,Bachelor,Life Sciences,1,3.0,56,Very High,0,Male,37,High,3,Sales Executive,High,Single,8726,2975,1,Y,No,0,15,Excellent,3.6666666666666665,Very High,80,0,9,0,Better,9,8,1,7
44,30,Millennials,No,Travel_Frequently,721,Research & Development,1,Short Distance,College,Medical,1,3.3333333333333335,57,High,0,Female,58,High,2,Laboratory Technician,Very High,Single,4011,10781,1,Y,No,0,23,Outstanding,3.6666666666666665,Very High,80,0,12,2,Better,12,8,3,7
45,41,Millennials,Yes,Travel_Rarely,1360,Research & Development,12,Medium Distance,Bachelor,Technical Degree,1,3.0,58,Medium,1,Female,49,High,5,Research Director,High,Married,19545,16280,1,Y,No,0,12,Excellent,3.0,Very High,80,0,23,0,Better,22,15,15,8
46,34,Millennials,No,Non-Travel,1065,Sales,23,Long Distance,Master,Marketing,1,3.3333333333333335,60,Medium,1,Male,72,High,2,Sales Executive,High,Single,4568,10034,0,Y,No,0,20,Outstanding,2.6666666666666665,High,80,0,10,2,Better,9,5,8,7
47,37,Millennials,No,Travel_Rarely,408,Research & Development,19,Medium Distance,College,Life Sciences,1,3.3333333333333335,61,Medium,7,Male,73,High,1,Research Scientist,Medium,Married,3022,10227,4,Y,No,0,21,Outstanding,1.6666666666666667,Low,80,0,8,1,Better,1,0,0,0
48,46,Gen X,No,Travel_Frequently,1211,Sales,5,Short Distance,Master,Marketing,1,3.3333333333333335,62,Low,5,Male,98,High,2,Sales Executive,Very High,Single,5772,20445,4,Y,Yes,1,21,Outstanding,2.6666666666666665,High,80,0,14,4,Better,9,6,0,8
49,35,Millennials,No,Travel_Rarely,1229,Research & Development,8,Short Distance,Below College,Life Sciences,1,3.3333333333333335,63,Very High,0,Male,36,Very High,1,Laboratory Technician,Very High,Married,2269,4892,1,Y,No,0,19,Excellent,4.0,Very High,80,0,1,2,Better,1,0,0,1
50,48,Gen X,Yes,Travel_Rarely,626,Research & Development,1,Short Distance,College,Life Sciences,1,2.6666666666666665,64,Low,22,Male,98,Medium,3,Laboratory Technician,High,Single,5381,19294,9,Y,Yes,1,13,Excellent,2.6666666666666665,Very High,80,0,23,2,Better,1,0,0,0
51,28,Millennials,Yes,Travel_Rarely,1434,Research & Development,5,Short Distance,Master,Technical Degree,1,2.6666666666666665,65,High,0,Male,50,High,1,Laboratory Technician,High,Single,3441,11179,1,Y,Yes,1,13,Excellent,3.0,High,80,0,2,3,Good,2,2,2,2
52,44,Gen X,No,Travel_Rarely,1488,Sales,1,Short Distance,Doctor,Marketing,1,3.0,68,Medium,5,Female,75,High,2,Sales Executive,Low,Divorced,5454,4009,5,Y,Yes,1,21,Outstanding,2.0,High,80,1,9,2,Good,4,3,1,3
53,35,Millennials,No,Non-Travel,1097,Research & Development,11,Medium Distance,College,Medical,1,2.6666666666666665,70,High,6,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2,Y,Yes,1,13,Excellent,2.3333333333333335,High,80,1,10,3,Better,4,0,2,3
54,26,Gen Z,No,Travel_Rarely,1443,Sales,23,Long Distance,Bachelor,Marketing,1,2.3333333333333335,72,High,3,Female,47,Medium,2,Sales Executive,Very High,Married,4157,21436,7,Y,Yes,1,19,Excellent,3.3333333333333335,High,80,1,5,2,Good,2,2,0,0
55,33,Millennials,No,Travel_Frequently,515,Research & Development,1,Short Distance,College,Life Sciences,1,3.0,73,Low,0,Female,98,High,3,Research Director,Very High,Single,13458,15146,1,Y,Yes,1,12,Excellent,2.6666666666666665,High,80,0,15,1,Better,15,14,8,12
56,35,Millennials,No,Travel_Frequently,853,Sales,18,Medium Distance,Doctor,Life Sciences,1,3.0,74,Medium,0,Male,71,High,3,Sales Executive,Low,Married,9069,11031,1,Y,No,0,22,Outstanding,2.3333333333333335,Very High,80,1,9,3,Good,9,8,1,8
57,35,Millennials,No,Travel_Rarely,1142,Research & Development,23,Long Distance,Master,Medical,1,3.0,75,High,2,Female,30,High,1,Laboratory Technician,Low,Married,4014,16002,3,Y,Yes,1,15,Excellent,2.3333333333333335,High,80,1,4,3,Better,2,2,2,2
58,31,Millennials,No,Travel_Rarely,655,Research & Development,7,Short Distance,Master,Life Sciences,1,3.0,76,Very High,3,Male,48,High,2,Laboratory Technician,Very High,Divorced,5915,9528,3,Y,No,0,22,Outstanding,4.0,Very High,80,1,10,3,Good,7,7,1,7
59,37,Millennials,No,Travel_Rarely,1115,Research & Development,1,Short Distance,Master,Life Sciences,1,3.0,77,Low,0,Male,51,Medium,2,Manufacturing Director,High,Divorced,5993,2689,1,Y,No,0,18,Excellent,2.3333333333333335,High,80,1,7,2,Best,7,5,0,7
60,32,Millennials,No,Travel_Rarely,427,Research & Development,1,Short Distance,Bachelor,Medical,1,3.3333333333333335,78,Low,0,Male,33,High,2,Manufacturing Director,Very High,Married,6162,10877,1,Y,Yes,1,22,Outstanding,2.3333333333333335,Medium,80,1,9,3,Better,9,8,7,8
61,38,Millennials,No,Travel_Frequently,653,Research & Development,29,Long Distance,Doctor,Life Sciences,1,3.0,79,Very High,0,Female,50,High,2,Laboratory Technician,Very High,Single,2406,5456,1,Y,No,0,11,Excellent,4.0,Very High,80,0,10,2,Better,10,3,9,9
62,50,Gen X,No,Travel_Rarely,989,Research & Development,7,Short Distance,College,Medical,1,2.3333333333333335,80,Medium,2,Female,43,Medium,5,Research Director,High,Divorced,18740,16701,5,Y,Yes,1,12,Excellent,3.0,Very High,80,1,29,2,Good,27,3,13,8
63,59,Gen X,No,Travel_Rarely,1435,Sales,25,Long Distance,Bachelor,Life Sciences,1,2.6666666666666665,81,Low,7,Female,99,High,3,Sales Executive,Low,Single,7637,2354,7,Y,No,0,11,Excellent,2.0,Very High,80,0,28,3,Good,21,16,7,9
64,36,Millennials,No,Travel_Rarely,1223,Research & Development,8,Short Distance,Bachelor,Technical Degree,1,3.0,83,High,0,Female,59,High,3,Healthcare Representative,High,Divorced,10096,8202,1,Y,No,0,13,Excellent,2.6666666666666665,Medium,80,3,17,2,Better,17,14,12,8
65,55,Gen X,No,Travel_Rarely,836,Research & Development,8,Short Distance,Bachelor,Medical,1,3.0,84,Very High,16,Female,33,High,4,Manager,High,Divorced,14756,19730,2,Y,Yes,1,14,Excellent,3.3333333333333335,High,80,3,21,2,Better,5,0,0,2
66,36,Millennials,No,Travel_Frequently,1195,Research & Development,11,Medium Distance,Bachelor,Life Sciences,1,2.6666666666666665,85,Medium,0,Male,95,Medium,2,Manufacturing Director,Medium,Single,6499,22656,1,Y,No,0,13,Excellent,2.3333333333333335,High,80,0,6,3,Better,6,5,0,3
67,45,Gen X,No,Travel_Rarely,1339,Research & Development,7,Short Distance,Bachelor,Life Sciences,1,3.0,86,Medium,24,Male,59,High,3,Research Scientist,Low,Divorced,9724,18787,2,Y,No,0,17,Excellent,2.0,High,80,1,25,2,Better,1,0,0,0
68,35,Millennials,No,Travel_Frequently,664,Research & Development,1,Short Distance,Bachelor,Medical,1,2.6666666666666665,88,Medium,2,Male,79,High,1,Research Scientist,Low,Married,2194,5868,4,Y,No,0,13,Excellent,2.3333333333333335,Very High,80,1,5,2,Good,3,2,1,2
69,36,Millennials,Yes,Travel_Rarely,318,Research & Development,9,Short Distance,Bachelor,Medical,1,2.3333333333333335,90,Very High,1,Male,79,Medium,1,Research Scientist,High,Married,3388,21777,0,Y,Yes,1,17,Excellent,2.6666666666666665,Low,80,1,2,0,Good,1,0,0,0
70,59,Gen X,No,Travel_Frequently,1225,Sales,1,Short Distance,Below College,Life Sciences,1,2.3333333333333335,91,Low,16,Female,57,Medium,2,Sales Executive,High,Single,5473,24668,7,Y,No,0,11,Excellent,2.6666666666666665,Very High,80,0,20,2,Good,4,3,1,3
71,29,Millennials,No,Travel_Rarely,1328,Research & Development,2,Short Distance,Bachelor,Life Sciences,1,3.3333333333333335,94,High,1,Male,76,High,1,Research Scientist,Medium,Married,2703,4956,0,Y,No,0,23,Outstanding,3.0,Very High,80,1,6,3,Better,5,4,0,4
72,31,Millennials,No,Travel_Rarely,1082,Research & Development,1,Short Distance,Master,Medical,1,3.0,95,High,0,Male,87,High,1,Research Scientist,Medium,Single,2501,18775,1,Y,No,0,17,Excellent,2.3333333333333335,Medium,80,0,1,4,Better,1,1,1,0
73,32,Millennials,No,Travel_Rarely,548,Research & Development,1,Short Distance,Bachelor,Life Sciences,1,3.0,96,Medium,0,Male,66,High,2,Research Scientist,Medium,Married,6220,7346,1,Y,No,0,17,Excellent,2.0,Medium,80,2,10,3,Better,10,4,0,9
74,36,Millennials,No,Travel_Rarely,132,Research & Development,6,Short Distance,Bachelor,Life Sciences,1,3.3333333333333335,97,Medium,4,Female,55,Very High,1,Laboratory Technician,Very High,Married,3038,22002,3,Y,No,0,12,Excellent,2.6666666666666665,Medium,80,0,5,3,Better,1,0,0,0
75,31,Millennials,No,Travel_Rarely,746,Research & Development,8,Short Distance,Master,Life Sciences,1,3.3333333333333335,98,High,0,Female,61,High,2,Manufacturing Director,Very High,Single,4424,20682,1,Y,No,0,23,Outstanding,3.6666666666666665,Very High,80,0,11,2,Better,11,7,1,8
76,35,Millennials,No,Travel_Rarely,776,Sales,1,Short Distance,Master,Marketing,1,2.6666666666666665,100,High,1,Male,32,Medium,2,Sales Executive,Low,Single,4312,23016,0,Y,No,0,14,Excellent,2.0,Medium,80,0,16,2,Better,15,13,2,8
77,45,Gen X,No,Travel_Rarely,193,Research & Development,6,Short Distance,Master,Other,1,3.3333333333333335,101,Very High,17,Male,52,High,3,Research Director,Low,Married,13245,15067,4,Y,Yes,1,14,Excellent,2.3333333333333335,Medium,80,0,17,3,Best,0,0,0,0
78,37,Millennials,No,Travel_Rarely,397,Research & Development,7,Short Distance,Master,Medical,1,3.3333333333333335,102,Low,11,Male,30,High,3,Research Director,High,Single,13664,25258,4,Y,No,0,13,Excellent,1.6666666666666667,Low,80,0,16,3,Best,5,2,0,2
79,46,Gen X,No,Travel_Rarely,945,Human Resources,5,Short Distance,College,Medical,1,3.3333333333333335,103,Medium,12,Male,80,High,2,Human Resources,Medium,Divorced,5021,10425,8,Y,Yes,1,22,Outstanding,2.6666666666666665,Very High,80,1,16,2,Better,4,2,0,2
80,30,Millennials,No,Travel_Rarely,852,Research & Development,1,Short Distance,Below College,Life Sciences,1,2.3333333333333335,104,Very High,0,Male,55,Medium,2,Laboratory Technician,Very High,Married,5126,15998,1,Y,Yes,1,12,Excellent,3.6666666666666665,High,80,2,10,1,Good,10,8,3,0
81,35,Millennials,No,Travel_Rarely,1214,Research & Development,1,Short Distance,Bachelor,Medical,1,2.6666666666666665,105,Medium,0,Male,30,Medium,1,Research Scientist,High,Single,2859,26278,1,Y,No,0,18,Excellent,2.0,Low,80,0,6,3,Better,6,4,0,4
82,55,Gen X,No,Travel_Rarely,111,Sales,1,Short Distance,College,Life Sciences,1,3.0,106,Low,23,Male,70,High,3,Sales Executive,Very High,Married,10239,18092,3,Y,No,0,14,Excellent,3.0,Very High,80,1,24,4,Better,1,0,1,0
83,38,Millennials,No,Non-Travel,573,Research & Development,6,Short Distance,Bachelor,Medical,1,2.3333333333333335,107,Medium,4,Female,79,Low,2,Research Scientist,Very High,Divorced,5329,15717,7,Y,Yes,1,12,Excellent,3.3333333333333335,Very High,80,3,17,3,Better,13,11,1,9
84,34,Millennials,No,Travel_Rarely,1153,Research & Development,1,Short Distance,College,Medical,1,3.0,110,Low,0,Male,94,High,2,Manufacturing Director,Medium,Married,4325,17736,1,Y,No,0,15,Excellent,2.0,High,80,0,5,2,Better,5,2,1,3
85,56,Gen X,No,Travel_Rarely,1400,Research & Development,7,Short Distance,Bachelor,Life Sciences,1,2.0,112,Very High,31,Male,49,Low,3,Manufacturing Director,Very High,Single,7260,21698,4,Y,No,0,11,Excellent,3.0,Low,80,0,37,3,Good,6,4,0,2
86,23,Gen Z,No,Travel_Rarely,541,Sales,2,Short Distance,Below College,Technical Degree,1,3.0,113,High,3,Male,62,High,1,Sales Representative,Low,Divorced,2322,9518,3,Y,No,0,13,Excellent,2.3333333333333335,High,80,1,3,3,Better,0,0,0,0
87,51,Gen X,No,Travel_Rarely,432,Research & Development,9,Short Distance,Master,Life Sciences,1,3.3333333333333335,116,Very High,6,Male,96,High,1,Laboratory Technician,Very High,Married,2075,18725,3,Y,No,0,23,Outstanding,3.3333333333333335,Medium,80,2,10,4,Better,4,2,0,3
88,30,Millennials,No,Travel_Rarely,288,Research & Development,2,Short Distance,Bachelor,Life Sciences,1,2.6666666666666665,117,High,0,Male,99,Medium,2,Healthcare Representative,Very High,Married,4152,15830,1,Y,No,0,19,Excellent,2.6666666666666665,Low,80,3,11,3,Better,11,10,10,8
89,46,Gen X,Yes,Travel_Rarely,669,Sales,9,Short Distance,College,Medical,1,2.6666666666666665,118,High,0,Male,64,Medium,3,Sales Executive,Very High,Single,9619,13596,1,Y,No,0,16,Excellent,3.6666666666666665,Very High,80,0,9,3,Better,9,8,4,7
90,40,Millennials,No,Travel_Frequently,530,Research & Development,1,Short Distance,Master,Life Sciences,1,2.6666666666666665,119,High,0,Male,78,Medium,4,Healthcare Representative,Medium,Married,13503,14115,1,Y,No,0,22,Outstanding,3.0,Very High,80,1,22,3,Good,22,3,11,11
91,51,Gen X,No,Travel_Rarely,632,Sales,21,Long Distance,Master,Marketing,1,2.6666666666666665,120,High,1,Male,71,High,2,Sales Executive,Very High,Single,5441,8423,0,Y,Yes,1,22,Outstanding,3.6666666666666665,Very High,80,0,11,2,Bad,10,7,1,0
92,30,Millennials,No,Travel_Rarely,1334,Sales,4,Short Distance,College,Medical,1,2.3333333333333335,121,High,0,Female,63,Medium,2,Sales Executive,Medium,Divorced,5209,19760,1,Y,Yes,1,12,Excellent,2.3333333333333335,Medium,80,3,11,4,Good,11,8,2,7
93,46,Gen X,No,Travel_Frequently,638,Research & Development,1,Short Distance,Bachelor,Medical,1,2.3333333333333335,124,High,11,Male,40,Medium,3,Healthcare Representative,Low,Married,10673,3142,2,Y,Yes,1,13,Excellent,2.3333333333333335,High,80,1,21,5,Good,10,9,9,5
94,32,Millennials,No,Travel_Rarely,1093,Sales,6,Short Distance,Master,Medical,1,3.0,125,Medium,1,Male,87,High,2,Sales Executive,High,Single,5010,24301,1,Y,No,0,16,Excellent,2.0,Low,80,0,12,0,Better,11,8,5,7
95,54,Gen X,No,Travel_Rarely,1217,Research & Development,2,Short Distance,Master,Technical Degree,1,2.3333333333333335,126,Low,12,Female,60,High,3,Research Director,High,Married,13549,24001,9,Y,No,0,12,Excellent,1.6666666666666667,Low,80,1,16,5,Bad,4,3,0,3
